"","player_id","n","firstName","lastName","nationality","birthCity","primaryPosition","birthDate","link","Games_Played","Points_per_Game"
"1",8480068,4,"Ryan","Poehling","USA","Lakeville","C",1999-01-03,"/api/v1/people/8480068",1,4
"2",8478402,378,"Connor","McDavid","CAN","Richmond Hill","C",1997-01-13,"/api/v1/people/8478402",296,1.27702702702703
"3",8471675,818,"Sidney","Crosby","CAN","Cole Harbour","C",1987-08-07,"/api/v1/people/8471675",670,1.22089552238806
"4",8471215,724,"Evgeni","Malkin","RUS","Magnitogorsk","C",1986-07-31,"/api/v1/people/8471215",640,1.13125
"5",8474141,803,"Patrick","Kane","USA","Buffalo","RW",1988-11-19,"/api/v1/people/8474141",742,1.0822102425876
"6",8476453,528,"Nikita","Kucherov","RUS","Maykop","RW",1993-06-17,"/api/v1/people/8476453",505,1.04554455445545
"7",8478550,353,"Artemi","Panarin","RUS","Korkino","LW",1991-10-30,"/api/v1/people/8478550",344,1.02616279069767
"8",8474564,664,"Steven","Stamkos","CAN","Markham","C",1990-02-07,"/api/v1/people/8474564",649,1.0231124807396
"9",8473512,737,"Claude","Giroux","CAN","Hearst","C",1988-01-12,"/api/v1/people/8473512",731,1.00820793433653
"10",8476890,2,"Patrick","Sieloff","USA","Ann Arbor","D",1994-05-15,"/api/v1/people/8476890",2,1
"11",8477343,2,"Tyler","Lewington","CAN","Edmonton","D",1994-12-05,"/api/v1/people/8477343",2,1
"12",8465113,1,"Brian","Willsie","CAN","Belmont","RW",1978-03-16,"/api/v1/people/8465113",1,1
"13",8469798,1,"Maxime","Fortunus","CAN","Longueuil","D",1983-07-28,"/api/v1/people/8469798",1,1
"14",8473539,1,"Carl","Sneep","USA","St. Louis Park","D",1987-11-05,"/api/v1/people/8473539",1,1
"15",8476224,1,"Chay","Genoway","CAN","Swan River","D",1986-12-20,"/api/v1/people/8476224",1,1
"16",8476505,1,"Turner","Elson","CAN","New Westminster","C",1992-09-13,"/api/v1/people/8476505",1,1
"17",8476511,1,"Samuel","Henley","CAN","Val-d'Or","C",1993-07-25,"/api/v1/people/8476511",1,1
"18",8481486,1,"Jimmy","Schuldt","USA","Minnetonka","D",1995-05-11,"/api/v1/people/8481486",1,1
"19",8471214,772,"Alex","Ovechkin","RUS","Moscow","LW",1985-09-17,"/api/v1/people/8471214",786,0.982188295165394
"20",8480012,69,"Elias","Pettersson","SWE","Sundsvall","C",1998-11-12,"/api/v1/people/8480012",71,0.971830985915493
"21",8475166,675,"John","Tavares","CAN","Mississauga","C",1990-09-20,"/api/v1/people/8475166",695,0.971223021582734
"22",8479318,224,"Auston","Matthews","USA","San Ramon","C",1997-09-17,"/api/v1/people/8479318",231,0.96969696969697
"23",8476346,392,"Johnny","Gaudreau","USA","Salem","LW",1993-08-13,"/api/v1/people/8476346",407,0.963144963144963
"24",8470612,659,"Ryan","Getzlaf","CAN","Regina","C",1985-05-10,"/api/v1/people/8470612",686,0.96064139941691
"25",8473563,700,"Nicklas","Backstrom","SWE","Gävle","C",1987-11-23,"/api/v1/people/8473563",742,0.943396226415094
"26",8467514,369,"Pavel","Datsyuk","RUS","Sverdlovsk","C",1978-07-20,"/api/v1/people/8467514",393,0.938931297709924
"27",8478483,241,"Mitchell","Marner","CAN","Markham","C",1997-05-05,"/api/v1/people/8478483",258,0.934108527131783
"28",8473994,636,"Jamie","Benn","CAN","Victoria","LW",1989-07-18,"/api/v1/people/8473994",688,0.924418604651163
"29",8466378,387,"Martin","St. Louis","CAN","Laval","RW",1975-06-18,"/api/v1/people/8466378",420,0.921428571428571
"30",8478403,260,"Jack","Eichel","USA","North Chelmsford","C",1996-10-28,"/api/v1/people/8478403",283,0.918727915194346
"31",8477492,438,"Nathan","MacKinnon","CAN","Halifax","C",1995-09-01,"/api/v1/people/8477492",478,0.916317991631799
"32",8475791,515,"Taylor","Hall","CAN","Calgary","LW",1991-11-14,"/api/v1/people/8475791",563,0.914742451154529
"33",8477934,328,"Leon","Draisaitl","DEU","Cologne","C",1995-10-27,"/api/v1/people/8477934",359,0.913649025069638
"34",8478445,157,"Mathew","Barzal","CAN","Coquitlam","C",1997-05-26,"/api/v1/people/8478445",172,0.912790697674419
"35",8477956,328,"David","Pastrnak","CZE","Havirov","RW",1996-05-25,"/api/v1/people/8477956",361,0.908587257617729
